movie_id,title,revenue,vote_average,vote_count,watch_providers,genres,budget,runtime,original_language,adult,shooting_format,release_year,number_screens_release,overview,movie_script,script_writer,distributors,director,producers,main_cast
912649,Venom: The Last Dance,478103649,6.752,3304,,"Action, Science Fiction, Adventure",120000000,109,en,False,,2024,,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",,,"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",Kelly Marcel,"Avi Arad, Kelly Marcel, Tom Hardy, Matt Tolmach, Hutch Parker, Amy Pascal","Tom Hardy, Chiwetel Ejiofor, Juno Temple"
1064486,Memoir of a Snail,6780428,8.074,486,,"Animation, Drama, Comedy",4350000,94,en,False,,2024,,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",,,"Arenamedia, Screen Australia",Adam Elliot,"Adam Elliot, Liz Kearney","Sarah Snook, Kodi Smit-McPhee, Jacki Weaver"
533535,Deadpool & Wolverine,1338073645,7.6,7192,Disney Plus,"Action, Comedy, Science Fiction",200000000,128,en,False,,2024,,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",,,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",Shawn Levy,"Ryan Reynolds, Lauren Shuler Donner, Shawn Levy, Kevin Feige","Ryan Reynolds, Hugh Jackman, Emma Corrin"
519182,Despicable Me 4,969280910,7.046,2749,"Sky Go, Now TV Cinema","Animation, Family, Comedy, Science Fiction",100000000,94,en,False,,2024,,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",,,"Universal Pictures, Illumination",Chris Renaud,"Chris Meledandri, Brett Hoffman","Steve Carell, Kristen Wiig, Will Ferrell"
1022789,Inside Out 2,1698863816,7.557,5816,Disney Plus,"Animation, Adventure, Comedy, Family",200000000,97,en,False,,2024,,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",,,"Walt Disney Pictures, Pixar",Kelsey Mann,Mark Nielsen,"Amy Poehler, Maya Hawke, Kensington Tallman"
1184918,The Wild Robot,331982078,8.319,4877,,"Animation, Science Fiction, Family",78000000,102,en,False,,2024,,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",,,DreamWorks Animation,Chris Sanders,Jeff Hermann,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
539972,Kraven the Hunter,59184643,6.575,1662,,"Action, Adventure, Thriller",120000000,127,en,False,,2024,,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",,,"Columbia Pictures, Matt Tolmach Productions, Arad Productions",J.C. Chandor,"David B. Householter, Avi Arad, Matt Tolmach","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger"
933260,The Substance,76506196,7.1,4557,"MUBI, MUBI Amazon Channel","Horror, Science Fiction",17500000,141,en,False,,2024,,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",,,"Working Title Films, Blacksmith, Working Title Films",Coralie Fargeat,"Eric Fellner, Coralie Fargeat, Tim Bevan","Demi Moore, Margaret Qualley, Dennis Quaid"
558449,Gladiator II,458718000,6.743,3304,Paramount+ Amazon Channel,"Action, Adventure, Drama",310000000,148,en,False,,2024,,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",,,"Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",Ridley Scott,"Michael A. Pruss, David Franzoni, Ridley Scott, Douglas Wick, Lucy Fisher","Paul Mescal, Denzel Washington, Pedro Pascal"
1059073,Winter Spring Summer or Fall,0,7.3,95,,"Romance, Comedy, Drama",0,97,en,False,,2024,,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four  days together over the course of a year that will change their lives forever.",,,"Motion Picture Corporation of America, Brad Krevoy Television, Wall Fly",Tiffany Paulsen,"David M. Wulf, Brad Krevoy, Josh Shader","Jenna Ortega, Percy Hynes White, Adam Rodriguez"
1064213,Anora,56286295,7.04,2131,,"Drama, Comedy, Romance",6000000,139,en,False,,2024,,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",,,"Cre Film, FilmNation Entertainment",Sean Baker,"Alex Coco, Sean Baker, Samantha Quan","Mikey Madison, Mark Eydelshteyn, Yura Borisov"
693134,Dune: Part Two,714444358,8.148,6631,"Sky Go, Now TV Cinema","Science Fiction, Adventure",190000000,167,en,False,,2024,,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",,,Legendary Pictures,Denis Villeneuve,"Mary Parent, Cale Boyter, Tanya Lapointe, Patrick McCormick, Denis Villeneuve","Timothée Chalamet, Zendaya, Rebecca Ferguson"
